;;срочность;Результат;;;;;;;;;;;;;;;;;;;;;;
53;"Во вкладке ""бренды"" поле ""прикрепить поле для описания"" http://joxi.ru/V2VzyVkCkPRXR2 служит для прикрепления большого фото (не логотипа) для описания бренда в развернутом каталоге http://joxi.ru/zANqRlZijPndL2";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
54;"Сделать пункт ""подобрать по бренду""  http://joxi.ru/KAg1l39UKWqMym в 4-м уровне вложенности.";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
55;Вставить логотип Бренда перед названием http://joxi.ru/82QGnz3h9oM9Dr ;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
56;Отцентровать ярлыки при свернутом каталоге: http://joxi.ru/KAx6PERHKlgnym ;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
57;Улучшить дизайнерское решение по островкам каталога добавив внизу отсечные полоски по цветам букв логотипа снизу как например здесь: http://joxi.ru/n2Y6N47HeP8vWA (ссылка сайта на котором нашел оформление островков:  ) А буквы сделать белыми на цветном фоне, будут смотреться так же как в разворачивающемся каталоге:  http://joxi.ru/Vm6DJWeUvlPLaA   ;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
58;Последний раздел каталога не должен быть в футоре: http://joxi.ru/823D7QeU8Low4A ;средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
59;Когда главных разделов много, то внизу должна появлятся стрелка как сейчас реализовано в 2-5 уровнях вложенности) чтобы можно было понять о наличии еще разделов и перекрутить колесиком мыши.;Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
60;"Утранить баг. При нажатии на вкладку ""разделы каталога"" появляются и исчезают два слова """"ЧУД"".";;исправлено;;;;;;;;;;;;;;;;;;;;;;
61;Устранить баг. Когда двигаешь колесиком мыши список брендов, то двигается 2-я вложеность каталога. Друй 3,4 возможно тоже, надо проверить http://joxi.ru/Q2K8KMdUvlwQwA ;средне;в разработке;;;;;;;;;;;;;;;;;;;;;;
62;"Кнопку ""добавить заказ"" сделать в одну лини. по вертикали со списком закзов http://joxi.ru/krDnVyeT4e6el2 ";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
63;Как вариант можно сделать левый каталог с закреплением чтобы после клика на раздел выпадал следующий уровень и закреплялся. Тогда не будет отваливаться если курсор мыши выйдет из поля. Так например реализовано у ИКЕИ https://www.ikea.com/ru/ru/cat/nabory-mebeli-55036/ ;Неважно;исправлено;Все отлично, оставляем как есть;;;;;;;;;;;;;;;;;;;;;
64;"При просмотре товара плиткой клиентом не должно быть пустой строки (строка где кнопка ""добавить заказ"" и вкладки). http://joxi.ru/ZrJ7LgWTnjk64m ";средне;в разработке;;;;;;;;;;;;;;;;;;;;;;
65;"Уменьшить по высоте подразделы каталога при просмотре плиткой и отцентровать текст по горизонтали. Сделай их по высоте как кнопка ""добавить заказ"" Иначе когда сного подразделов, то на небольших мониторах они занимаю много места. http://joxi.ru/Y2LNZGLHEjLgLr ";Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
66;При просмотре плиткой сделать горизонтальные отступы по высоте такими же как вертикальные, они должны быть одинаковыми http://joxi.ru/82QGnz3h954NBr При этом ширину плитки товара можно немного уменьшить чтобы расстояние между ними немного увеличилось.;Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
67;"Цвет закрашенных звезд зделать тикими же как на шаблоне в пойнте http://joxi.ru/n2Y6N47Hev0BZA чтобы он перекликался либо  с цветом букв ""p"" и ""r"" в логотипе, либо с номереом телефона, то что будет лучьше смотреться. http://joxi.ru/J2bOpLETVKM1MA ";Неважно;в разработке;;;;;;;;;;;;;;;;;;;;;;
68;Когда уменьшаешь размер экрана или браузера плитка не должна уменьшаться по размеру при котором ее данные переносятся на следующие строки. А должно сократиться кол-во товара в строке (например вместо 6 должно быть 3) http://joxi.ru/5mdXbZpU8yJWLm ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
69;"Поправить значек ""сравнение"" http://joxi.ru/bmoMP7QUyPl4WA ";Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
70;При просмотре товара плиткой убираем описание товара и добавляем название бренда и артикул. Под фото получиться попорядку: бренд + артикул в одну строку, а под ними название товара. Артикул делаем шрифтом поменьше и серым цветом. Название товара прищимаем к правому краю. ;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
71;Края квардрата плитки делаем округлыми и убираем границу http://joxi.ru/D2PMOpRUJV168A Тоесть деаем как в утвержденном шаблоне (слайд 1 пойнта);Неважно;исправлено;;;;;;;;;;;;;;;;;;;;;;
72;Список товаров при просмотре списком сделать наподобии как здесь https://www.holodilnik.ru/gas-stoves/gas_cookers/?tile=0#s добавив параметры товара в середиу. Элементы расположить так, чтобы небыло высоко и небыло пусто по ширине.;важно;исправлено;;;;;;;;;;;;;;;;;;;;;;
73;"При просмотре товара плиткой сделать чтобы звезда рейтинга и слово ""дн.""  не переносилась на вторую стрчку, а оставалось на первой, там есть достаточно места чтобы небыло переноса. http://joxi.ru/Vrw5P0aF4PXDx2 ";средне;исправлено;;;;;;;;;;;;;;;;;;;;;;
